Bonk's Adventure					(2p)	|8wy,2bt		|	y	| 0.78	| 			| bonzeadu, bonzeadv
Boogie Wings The Great Ragtime Show	(2p)	|8wy,2bt		|		|		|			|
Border Down									|?				|		|		|			|
Bosconian									|8wy,1bt		|		|		|			|
Brave Blade									|?				|		|		|			|
Breakers Revenge							|?				|		|		|			|
Bubble Bobble						(2p)	|2lr,2bt		|		|		|			| 
Bubble Bobble 2								|?				|		|		|			| 
Bubble Memories ... Bubble Bobble III  (2p)	|8wy,2bt		|		|		|			|
Bubbles										|8wy			|		|		|			|
Buck Rogers (Sample Files Required)			|8wy/1bt,2bt	|		|		|			|
Bucky O'Hare						(4p)	|8wy,3bt		|		|		|			|
Bump 'n Jump								|8wy,1bt		|	y	| 0.78	|			| bnj
BurgerTime									|4wy,1bt		|	y	| 0.78	|			| btime, btime2, btimem
Burning Fight   					(2p)	|8wy,3bt		|		|		|			|
Cabal 								(2p)	|trk,2bt		|		|		|			| 
Cadillacs and Dinosaurs				(3p)	|8wy,2bt		|	y	| 0.78	|			| dinou, dinoj
Caliber 50 							(2p)	|8wy rot,2bt	|		|		|			|
Capcom Baseball								|?				|		|		|			|
Capcom Sports Club							|?				|		|		|			|
Capcom Vs SNK: Millennium Fight 2000 PRO(2p)|8wy,4bt		|		|		|			|
Capcom Vs SNK 2 Millionaire Fighting2001(2p)|8wy,6bt		|		|		|			|
Captain America and the Avengers			|				|	y	| 0.78	|			| captaven, captavnj, captavuu, captavnu
Captain Commando							|				|		|		|			|
Carket Ball									|				|		|		|			|
Carnival									|				|		|		|			|
Carrier Air Wing							|				|		|		|			|
Caveman Ninja								|				|		|		|			|
Centipede									|trk, 1bt		|	y	| 0.78	|			| centipd2
Championship Sprint 				(2p)	|360,2ped		|		|		|			|
Chaos Field									|				|		|		|			|
Chase HQ									|360,HLwBt,1ped	|	y	| 0.78	|			| chasehqj, chasehq
Chicago 1929								|				|		|		|			|
Chicken Shift								|				|		|		|			|
Choplifter									|				|		|		|			| 
Chuka Taisen								|				|		|		|			|
Circus Charlie								|				|	y	| 0.78	|			| circusc, circusce, circuscc, circusc2
Clash Road									|				|		|		|			|
Cleopatra Fortune Plus						|				|		|		|			|
Cliff Hanger								|				|		|		|daphne-emu	| 
Cliffhanger - Edward Randy   				|				|		|		|			|
Cloak & Dagger								|				|		|		|			|
Cobra Command								|				|		|		|			|
Columns										|				|	y	| 0.78	|			| columnsj, columns
Combatribes   								|				|		|		|			|
Commando									|				|	y	| 0.78	|			| commsega, commandu, commando
Congo Bongo									|				|	y	| 0.78	|			| congo
Contra										|				|	y	| 0.78	|			| contraj, contra
Cool Boarders								|				|		|		|			|
Coors Light Bowling							|trk,2bt		|		|		|			|
Cosmo Gang The Video						|				|		|		|			|
Cotton										|				|		|		|			|
Cotton 2									|				|		|		|			|
Cotton Boomerang							|				|		|		|			|
Crack Down									|				|		|		|			|
Crazy Climber								|				|	y	| 0.78	|			| cclimbrj, cclimber
Crazy Climber 2								|				|	y	| 0.78	|			| cclimbr2
Crime City									|				|		|		|			|
Crime Fighters   							|				|		|		|			|
Cross Pang									|				|		|		|			|
Cruisin										|				|		|		|			|
Cruis’n Exotica								|270,4pos,2ped	|		|		|			|
Cruis’n USA									|270,4pos,2ped	|		|		|			|
Cruis’n World								|270,4pos,2ped	|		|		|			|
Crystal Castles (trackball)					|				|	y	| 0.78	|			| ccastle2, ccastle3, ccastles
Crystal Of Kings							|				|		|		|			|
Cybattler									|				|		|		|			|
Cyber-Lip									|				|		|		|			|
Cyberball									|				|		|		|			|
Cyberbots - Full Metal Madness				|				|		|		|			|
Cyvern										|				|		|		|			|
Daemon Bride								|				|		|		|			|
Daraku Tenshi - The Fallen Angels			|				|		|		|			|
Darius										|				|		|		|			|
Darius Burst EX Another Chronicle			|				|		|		|			|
Darius Gaiden: Silver Hawk					|				|		|		|			|
Darius II									|				|		|		|			|
Darkstalkers								|				|		|		|			|
Dead Connection								|				|	y	| 0.78	|			| deadconj, deadconx
Dead Or Alive								|				|		|		|			|
Dead Or Alive ++							|				|		|		|			|
Dead Or Alive 2 Millenium					|				|		|		|			|
Deathsmiles									|				|		|		|			|
Defender									|				|	y	| 0.78	|			| defender
Demolition Derby					(2p)	|360,HL			|		|		|			|
Demon Front									|				|		|		|			|
Demon's World								|				|		|		|			|
Deniin Makai   								|				|		|		|			|
Denjin Makai II								|				|		|		|			|
Deroon Derodero								|				|		|		|			|
Desert War									|				|		|		|			|
Dharma Doujou								|				|		|		|			|
Die Hard Arcade								|				|		|		|			| 
Dig Dug										|				|	y	| 0.78	|			| digduga1, digdugat, digdug, digdugb
Dig Dug II									|				|	y	| 0.78	|			| digdug2, digdug2o
Dimahoo										|				|		|		|			|
Dirty Pigskin Football / 621 AD				|				|		|		|			| 
Discs of Tron								|8wy/2bt,optppsp|		|		|			| 
Dodonpachi									|				|		|		|			|
Dodonpachi Dai Ou Jou						|				|		|		|			|
Dodonpachi II: Bee Storm					|				|		|		|			|
Dogyuun										|				|		|		|			|
Dolphin Blue								|				|		|		|			|
Domino Man									|				|	y	|		| mame2010	| 
Dommy										|				|		|		|			|
Donkey Kong									|				|	y	| 0.78	|			| dkongjp, dkongjo, dkong, dkongo
Donkey Kong 3								|				|	y	| 0.78	|			| dkong3j, dkong3
Donkey Kong Junior							|				|	y	| 0.78	|			| dkongjr, dkongjrj
